Id,Curso
26,Artes Cênicas - Integral
25,Artes Visuais - Integral
64,Comunicação Social - Midialogia - Integral
23,Dança - Integral
22,Música - Integral
6,Ciências Biológicas - Integral
100,Ciências do Esporte - Integral
27,Educação Física - Integral
45,Educação Física - Noturno
21,Enfermagem - Integral
63,Farmácia - Integral
58,Fonoaudiologia - Integral
46,Licenciatura em Ciências Biológicas - Noturno
15,Medicina - Integral
107,Nutrição - Integral
14,Odontologia - Integral
48,Arquitetura e Urbanismo - Noturno
42,Ciência da Computação - Noturno
36,Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Noturno
83,Curso Superior de Tecnologia em Construção de Edifícios - Noturno
73,Curso Superior de Tecnologia em Saneamento Ambiental - Integral
87,Curso Superior de Tecnologia em Saneamento Ambiental - Noturno
8,Engenharia Agrícola - Integral
89,Engenharia Ambiental - Noturno
12,Engenharia Civil - Integral
13,Engenharia de Alimentos - Integral
43,Engenharia de Alimentos - Noturno
34,Engenharia de Computação - Integral
49,Engenharia de Controle e Automação - Noturno
101,Engenharia de Manufatura - Integral
102,Engenharia de Produção - Integral
88,Engenharia de Telecomunicações - Integral
11,Engenharia Elétrica - Integral
41,Engenharia Elétrica - Noturno
108,Engenharia Física - Integral
10,Engenharia Mecânica - Integral
9,Engenharia Química - Integral
39,Engenharia Química - Noturno
2,Estatística - Integral
4,Física - Integral
53,Geologia - Integral
40,Licenciatura em Física - Noturno
29,Licenciatura em Matemática - Noturno
1,Matemática - Integral
28,Matemática Aplicada e Computacional - Integral
51,Matemática/Física/Matemática Aplicada e Computacional - Integral
5,Química - Integral
50,Química Tecnológica - Noturno
94,Sistemas de Informação - Integral
109,Administração - Noturno
110,Administração Pública - Noturno
17,Ciências Econômicas - Integral
47,Ciências Econômicas - Noturno
16,Ciências Sociais - Integral
44,Ciências Sociais - Noturno
75,Estudos Literários - Integral
30,Filosofia - Integral
54,Geografia - Integral
55,Geografia - Noturno
19,História - Integral
7,Licenciatura em Letras - Português - Integral
57,Licenciatura em Letras - Português - Noturno
56,Licenciatura Integrada Química/Física - Noturno
18,Linguística - Integral
20,Pedagogia - Integral
38,Pedagogia - Noturno
200,Programa de Formação Interdisciplinar Superior - ProFIS - Integral
