,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alunos atendidos com Bolsa Alimentação e Transporte ,683,905,854,933,1.396,1.093,955,1.074,1.147,1.057
Alunos atendidos com Bolsa Alimentação e Transporte - COTUCA,30,30,30,30,30,30,38,32,30,30
Alunos atendidos com Bolsa Alimentação e Transporte - ProFIS , - , - , - , - ,109,229,271,266,364,275
Alunos atendidos com Bolsa Auxílio Emergência ,158,188,251,370,449,403,259,255,219,237
Alunos atendidos com Bolsa Auxílio Estudo Formação - BAEF ,-, - , - , - , - , - , - ,30,78,69
Alunos atendidos com Bolsa Auxílio Instalação - BAI , - , - , - , - , - , - ,111,193,112,200
Alunos atendidos com Bolsa Auxílio Intercâmbio ,51,50,40,40,20,78,43,53,52,45
Alunos atendidos com Bolsa Auxílio Moradia - FCA/FOP/FT , - , - , - ,177,272,354,416,474,603,583
Alunos atendidos com Bolsa Auxílio Moradia - CAMPINAS , - , - , - ,-,-,-,-,89,88,154
Alunos atendidos com Bolsa Auxílio Social ,1.051,1.04,1.048,1.046,1.108,1.234,1.232,1.466,1.655,1.722
Alunos atendidos com Bolsa Auxílio Social - Ensino Médio e Técnico , - , - ,44,41,41,50,41,49,56,49
Alunos atendidos com Bolsa Auxílio Social - Incentivo Complementar (BAS-IC) ,-,-,-,-,-,-,-,133,203,234
Alunos atendidos com Bolsa Pesquisa,373,423,493,500,509,540,514,512,538,561
Alunos atendidos com Bolsa Pesquisa / Empresa,115,119,98,201,119,111,63,43,34,63
Alunos atendidos pelo Programa Bolsa Aluno Artista , - , - , - ,16,27,58,58,41,30,35
Alunos atendidos pelo Programa de Apoio Didático ao Ensino Médio e Técnico - PADEMT , - , - , - , - ,85,96,63,80,89,81
Alunos atendidos pelo Programa de Auxílio a Projetos  Institucionais - PAPI,224,221,156,304,350,410,380,365,477,431
Alunos atendidos pelo Programa de Auxílio Transporte Estágio Obrigatório - BATO , - , - , - , - , - , - ,348,463,455,403
Alunos atendidos pelo Programa de Formação Interdisciplinar Superior - ProFIS ,-,-,-,-,109,229,271,266,364,275
