Area,Curso,,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Outras,Artes Cênicas                           ,CV,13,13,15.1,16.1,15.5,16.2,18.6,19.6,22.5,23,17.9,19.7,17.6,14.2,18.4,17.3,18.8,20.1,24.6,26.8,27.9,27.4,31.5
Outras,Artes Cênicas                           ,CR,0.7639238095,0.8224764706,0.8498047619,0.8484176471,0.8208666667,0.8578416667,0.8638863636,0.8928086957,0.899873913,0.891144,0.90235,0.87325,0.883628,0.8893884615,0.87816,0.8947416667,0.8899666667,0.9038333333,0.8291,,,,
Exatas,Ciência da Computação                   ,CV,44.9,27.4,29.6,33.3,39.3,38.9,36.6,30.5,27.9,28.1,23.6,22.7,20.1,19.6,19.3,19.2,21.5,21.4,23.7,27,26.3,24.2,27.9
Exatas,Ciência da Computação                   ,CR,0.6878791667,0.7014355556,0.687397561,0.7292644444,0.7157594595,0.726045,0.7338756757,0.7003733333,0.6786733333,0.6603613636,0.6871954545,0.6629418605,0.6425973684,0.6698217391,0.657904,0.7139447368,0.599525,0.7302,-0.03525714286,0.844925,0.61795,,
Biológicas,Ciências Biológicas                     ,CV,40,43.6,47.3,59.1,63.5,75.2,67.1,62.1,65.4,85.4,70.1,65.4,58.1,45.9,46.7,46.4,45.2,45.7,47.4,57.2,58.8,55,65.7
Biológicas,Ciências Biológicas                     ,CR,0.7615975,0.7641054054,0.7704489796,0.7731612245,0.813606383,0.7908977778,0.8132358491,0.8010350877,0.8249888889,0.8154465517,0.8369470588,0.817894,0.8083479167,0.8187347826,0.8197,0.820332,0.8293890909,0.8320230769,0.6711583333,0.85547,0.8479722222,,
Humanas ,Ciências Econômicas                     ,CV,17,15.7,29.3,41.5,41.2,38.7,40.5,42.7,44.9,47.3,44.7,49.2,52,42.5,48.1,45.1,44.6,44.3,46.7,46.2,51.7,49.6,55.4
Humanas ,Ciências Econômicas                     ,CR,0.6706396825,0.6585606061,0.6896428571,0.6887674419,0.7280246914,0.70085625,0.6996222222,0.6855885057,0.6994317647,0.6892559524,0.6779621053,0.6976949495,0.6926790123,0.7037989011,0.6789347826,0.703395122,0.7026565217,0.7127,0.7491,,,,
Humanas ,Ciências Sociais                        ,CV,15.7,13.1,13.1,16.1,19.5,23.4,29.8,27.7,26.2,26.1,23.9,22.6,19.7,14.5,16.5,14.8,14.2,14.6,18.4,21.1,21.5,19,19.7
Humanas ,Ciências Sociais                        ,CR,0.7330240506,0.7252708861,0.7505271739,0.7413919192,0.7651035294,0.7426121951,0.7683238532,0.7742590909,0.7737932331,0.7761768657,0.7841548872,0.7872795918,0.7928673469,0.7742986842,0.7737347518,0.801623913,0.8002940171,0.7803247191,0.8147,0.7933194444,0.866584375,0.5697142857,
Outras,Dança                                   ,CV,6,6.2,6.6,7,6.8,8.5,8.6,10.8,11.4,10.8,10,11.1,10.6,9.2,8.7,8.4,9,8.2,9,10.9,10.6,10.4,11.4
Outras,Dança                                   ,CR,0.816368,0.8345241379,0.8111923077,0.8305333333,0.8562269231,0.8580233333,0.8490241379,0.8467730769,0.8550535714,0.8575068966,0.8699228571,0.8506516129,0.8455538462,0.84772,0.8392184211,0.8512823529,0.8570666667,0.8624785714,0.8161384615,0.8768,0.8774916667,0.8574,
Biológicas,Educação Física                         ,CV,17.8,19.2,21,23.8,29.7,27.8,29.4,30.6,30.8,30.4,24,22,19.5,12.9,13.5,12.9,12.7,13.9,16,18.4,18.5,20.1,21.4
Biológicas,Educação Física                         ,CR,0.7388166667,0.7551375,0.7558989583,0.7757772277,0.7785613861,0.7886688172,0.7913898148,0.7816009524,0.80573,0.7974867769,0.8100827586,0.8022727273,0.8176795918,0.8173666667,0.819873913,0.8047471154,0.818130137,0.7849809524,0.8125636364,0.760344,0.8359928571,0.8101,
Exatas,Engenharia Agrícola                     ,CV,6.2,7.7,5.9,8.1,6.9,6.2,6.9,7.3,5.9,9.1,6.9,6.6,6.6,6.7,6.4,7,6.2,6.5,8,6.8,7.4,7.5,7
Exatas,Engenharia Agrícola                     ,CR,0.6441130435,0.6487555556,0.6027684211,0.6098909091,0.6589380952,0.6424891892,0.6355333333,0.6127979167,0.6229820513,0.6346605263,0.6171065217,0.6214047619,0.6005225,0.6066735849,0.6320961538,0.6384181818,0.5990285714,0.55594,0.6351,0.8032,,,
Exatas,Engenharia Civil                        ,CV,15.9,13.2,13.2,11.4,12.1,11.4,11.1,10.4,8.7,10.3,9.7,12.9,14.6,21.2,27.4,36.4,47.4,51.9,51.8,54.2,44.8,34.6,31.7
Exatas,Engenharia Civil                        ,CR,0.6197783333,0.6428927273,0.6124357143,0.6308723077,0.6222034483,0.6324796296,0.6215532258,0.6437283784,0.6402956522,0.6234970149,0.6095527778,0.641175,0.6678514286,0.6487381579,0.7031605634,0.6740830189,0.7191045455,0.7088666667,0.7466,,,,
Exatas,Engenharia de Alimentos                 ,CV,30.4,34.2,34.4,32.7,33.4,31.9,34.9,24.6,25.7,27,25.9,23,23,19.1,19.5,19,18,20,18.7,20.2,18.3,15.8,15.7
Exatas,Engenharia de Alimentos                 ,CR,0.6498935484,0.676028866,0.6916105263,0.6719456522,0.7013806818,0.7189465909,0.6989406593,0.7080858491,0.6774367347,0.7018861702,0.6745529412,0.6796910891,0.6578381818,0.6823569892,0.6611316456,0.6905972973,0.654025,0.57878,0.77658,0.8180666667,0.6633,,
Exatas,Engenharia de Controle e Automação      ,CV,,,26.1,30.1,32.9,32.9,28.4,31.4,28.4,28.7,28,25.6,26,20.7,19.2,19.1,20.1,21.4,20.2,19.3,18.8,16.8,17.8
Exatas,Engenharia de Controle e Automação      ,CR,,,0.7139529412,0.7122676471,0.7058594595,0.7052388889,0.6878054054,0.6873926829,0.6874477273,0.6773071429,0.6703487805,0.6514488889,0.6534970588,0.6560645161,0.7243724138,0.7206363636,0.316,0.8463,,,,,
Exatas,Engenharia Elétrica                     ,CV,33,29.9,29.2,37.4,35.6,44.9,44.9,33.3,34.5,32.2,30.3,28.4,29.5,28.2,30.3,32.3,32.4,37.9,37.7,36.8,38,32.4,33.6
Exatas,Engenharia Elétrica                     ,CR,0.6993258427,0.6986989362,0.7227262136,0.7160333333,0.6995622222,0.724925,0.708022,0.7040755556,0.7133816092,0.6721936709,0.6709116279,0.6886736842,0.6571797753,0.6756607595,0.66801625,0.7122403226,0.739712,0.5765666667,0.6562,0.5681,,,
Exatas,Engenharia Química                      ,CV,26.8,21.5,17.8,23.4,23.1,25.7,25.1,23.3,24.6,30,30,35.5,44.6,47,50.9,52.6,62.9,69.3,70.8,68.8,59.5,51.4,53
Exatas,Engenharia Química                      ,CR,0.659561194,0.6767869565,0.6620887324,0.6547342466,0.695039759,0.697210989,0.6774181818,0.6832666667,0.6864741935,0.6869433735,0.7111420455,0.7019892857,0.7065775281,0.7204448276,0.7248181818,0.7464483871,0.7646263158,0.6936333333,0.7337,0.83705,,,
Exatas,Estatística                             ,CV,3.5,2.7,4.3,3.1,5.7,5.2,6.7,6.4,5.4,5.3,6.3,5.3,6.1,4.1,4.3,5.2,3.2,6.9,5.9,4.8,7.5,4.7,6.5
Exatas,Estatística                             ,CR,0.662084,0.665012,0.6884928571,0.6321133333,0.6500264706,0.6429234043,0.6648857143,0.6270307692,0.6174947368,0.68852,0.6303325581,0.6538324324,0.6358341463,0.6338285714,0.58515,0.5922153846,0.6235,0.63174,0.6174,,,,
Humanas ,Estudos Literários                      ,CV,,,,,,,,,,,15.1,8.6,10.8,8.7,9.5,8.3,9.1,8.8,10.1,11.1,11.1,9,8
Humanas ,Estudos Literários                      ,CR,,,,,,,,,,,0.8395375,0.8567764706,0.8656588235,0.8374470588,0.8310214286,0.8347,0.8267357143,0.88645,0.9481,,,,
Biológicas,Farmácia                                ,CV,,,,,,,,,46.1,33.1,35.1,35.9,34,28.7,30.2,26.5,24,21.5,20.6,23.7,25.7,26.6,29.1
Biológicas,Farmácia                                ,CR,,,,,,,,,0.7616564103,0.7747307692,0.7794941176,0.7905090909,0.77129375,0.7737571429,0.795627027,0.789247619,0.7720375,,,,,,
Humanas ,Filosofia                               ,CV,4.9,5.1,4.4,3.4,7,5.2,11.2,7.4,11.1,10.6,11.3,10.5,8.1,6.9,7.6,6.2,7.6,7.6,9.6,10.2,10.4,10.9,11.5
