Id,Curso,area
26,Artes Cênicas - Integral,artes
25,Artes Visuais - Integral,artes
64,Comunicação Social - Midialogia - Integral,artes
23,Dança - Integral,artes
22,Música - Integral,artes
6,Ciências Biológicas - Integral,biologicas
100,Ciências do Esporte - Integral,biologicas
27,Educação Física - Integral,biologicas
45,Educação Física - Noturno,biologicas
21,Enfermagem - Integral,biologicas
63,Farmácia - Integral,biologicas
58,Fonoaudiologia - Integral,biologicas
46,Licenciatura em Ciências Biológicas - Noturno,biologicas
15,Medicina - Integral,biologicas
107,Nutrição - Integral,biologicas
14,Odontologia - Integral,biologicas
48,Arquitetura e Urbanismo - Noturno,exatas
42,Ciência da Computação - Noturno,exatas
36,Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Noturno,exatas
83,Curso Superior de Tecnologia em Construção de Edifícios - Noturno,exatas
73,Curso Superior de Tecnologia em Saneamento Ambiental - Integral,exatas
87,Curso Superior de Tecnologia em Saneamento Ambiental - Noturno,exatas
8,Engenharia Agrícola - Integral,exatas
89,Engenharia Ambiental - Noturno,exatas
12,Engenharia Civil - Integral,exatas
13,Engenharia de Alimentos - Integral,exatas
43,Engenharia de Alimentos - Noturno,exatas
34,Engenharia de Computação - Integral,exatas
49,Engenharia de Controle e Automação - Noturno,exatas
101,Engenharia de Manufatura - Integral,exatas
102,Engenharia de Produção - Integral,exatas
88,Engenharia de Telecomunicações - Integral,exatas
11,Engenharia Elétrica - Integral,exatas
41,Engenharia Elétrica - Noturno,exatas
108,Engenharia Física - Integral,exatas
10,Engenharia Mecânica - Integral,exatas
9,Engenharia Química - Integral,exatas
39,Engenharia Química - Noturno,exatas
2,Estatística - Integral,exatas
4,Física - Integral,exatas
53,Geologia - Integral,exatas
40,Licenciatura em Física - Noturno,exatas
29,Licenciatura em Matemática - Noturno,exatas
1,Matemática - Integral,exatas
28,Matemática Aplicada e Computacional - Integral,exatas
51,Matemática/Física/Matemática Aplicada e Computacional - Integral,exatas
5,Química - Integral,exatas
50,Química Tecnológica - Noturno,exatas
94,Sistemas de Informação - Integral,exatas
109,Administração - Noturno,humanas
110,Administração Pública - Noturno,humanas
17,Ciências Econômicas - Integral,humanas
47,Ciências Econômicas - Noturno,humanas
16,Ciências Sociais - Integral,humanas
44,Ciências Sociais - Noturno,humanas
75,Estudos Literários - Integral,humanas
30,Filosofia - Integral,humanas
54,Geografia - Integral,humanas
55,Geografia - Noturno,humanas
19,História - Integral,humanas
7,Licenciatura em Letras - Português - Integral,humanas
57,Licenciatura em Letras - Português - Noturno,humanas
56,Licenciatura Integrada Química/Física - Noturno,humanas
18,Linguística - Integral,humanas
20,Pedagogia - Integral,humanas
38,Pedagogia - Noturno,humanas
