LATITUDE,LONGITUDE,MUNICIPIO
-9.82,-66.88,ACRELANDIA
-10.94,-69.56,ASSIS BRASIL
-11.01,-68.74,BRASILEIA
-9.83,-67.95,BUJARI
-10.57,-67.67,CAPIXABA
-7.63,-72.67,CRUZEIRO DO SUL
-11.02,-68.74,EPITACIOLANDIA
-8.16,-70.35,FEIJO
-9.43,-71.88,JORDAO
-7.61,-72.89,MANCIO LIMA
-8.83,-69.26,MANOEL URBANO
-8.94,-72.79,MARECHAL THAUMATURGO
-10.27,-67.15,PLACIDO DE CASTRO
-9.58,-67.53,PORTO ACRE
-8.26,-72.74,PORTO WALTER
-9.97,-67.81,RIO BRANCO
-7.74,-72.64,RODRIGUES ALVES
-9.43,-70.49,SANTA ROSA DO PURUS
-9.06,-68.65,SENA MADUREIRA
-10.15,-67.73,SENADOR GUIOMARD
-8.16,-70.76,TARAUACA
-10.65,-68.5,XAPURI
-9.26,-37.93,AGUA BRANCA
-9.68,-36.3,ANADIA
-9.75,-36.66,ARAPIRACA
-9.5,-36.02,ATALAIA
-9.4,-35.5,BARRA DE SANTO ANTONIO
-9.84,-35.9,BARRA DE SAO MIGUEL
-9.67,-37.12,BATALHA
-9.57,-36.49,BELEM
-9.82,-37.28,BELO MONTE
-9.64,-36.22,BOCA DA MATA
-9.24,-36.01,BRANQUINHA
-9.4,-36.99,CACIMBINHAS
-9.39,-36.15,CAJUEIRO
-8.84,-35.56,CAMPESTRE
-9.78,-36.35,CAMPO ALEGRE
-9.95,-36.79,CAMPO GRANDE
-9.12,-37.6,CANAPI
-9.4,-36.07,CAPELA
-9.48,-37.37,CARNEIROS
-9.25,-36.29,CHA PRETA
-9.63,-36.57,COITE DO NOIA
-8.9,-35.72,COLONIA LEOPOLDINA
-9.63,-35.8,COQUEIRO SECO
-10.12,-36.17,CORURIPE
-9.61,-36.76,CRAIBAS
-9.38,-37.99,DELMIRO GOUVEIA
-9.39,-37.1,DOIS RIACHOS
-9.39,-36.76,ESTRELA DE ALAGOAS
-9.9,-36.67,FEIRA GRANDE
-10.29,-36.3,FELIZ DESERTO
-9.27,-35.71,FLEXEIRAS
-9.88,-36.82,GIRAU DO PONCIANO
-8.97,-35.93,IBATEGUARA
-9.53,-36.63,IGACI
-10.12,-36.66,IGREJA NOVA
-9.21,-37.75,INHAPI
-9.63,-37.2,JACARE DOS HOMENS
-8.84,-35.46,JACUIPE
-9.08,-35.25,JAPARATINGA
-9.65,-37,JARAMATAIA
-9.13,-35.74,JOAQUIM GOMES
-8.93,-35.57,JUNDIA
-9.92,-36.47,JUNQUEIRO
-9.83,-36.73,LAGOA DA CANOA
-9.74,-36.5,LIMOEIRO DE ANADIA
-9.66,-35.73,MACEIO
-9.53,-36.98,MAJOR ISIDORO
-9.44,-36.38,MAR VERMELHO
-9.01,-35.22,MARAGOGI
-9.23,-37.35,MARAVILHA
-9.71,-35.89,MARECHAL DEODORO
-9.57,-36.3,MARIBONDO
-9.11,-37.73,MATA GRANDE
-9.15,-35.53,MATRIZ DE CAMARAGIBE
-9.38,-35.84,MESSIAS
-9.3,-36.86,MINADOR DO NEGRAO
-9.6,-37.24,MONTEIROPOLIS
-9.3,-35.94,MURICI
-8.91,-35.64,NOVO LINO
-9.53,-37.29,OLHO D'AGUA DAS FLORES
-9.5,-37.83,OLHO D'AGUA DO CASADO
-10.05,-36.81,OLHO D'AGUA GRANDE
-9.51,-37.19,OLIVENCA
-9.16,-37.35,OURO BRANCO
-9.67,-37.32,PALESTINA
-9.4,-36.62,PALMEIRA DOS INDIOS
-9.74,-37.43,PAO DE ACUCAR
-9.25,-38,PARICONHA
-9.46,-35.55,PARIPUEIRA
-9.23,-35.49,PASSO DE CAMARAGIBE
-9.36,-36.37,PAULO JACINTO
-10.29,-36.58,PENEDO
-10.4,-36.43,PIACABUCU
-9.59,-35.95,PILAR
-9.47,-36.29,PINDOBA
-9.62,-37.75,PIRANHAS
-9.31,-37.28,POCO DAS TRINCHEIRAS
-9.04,-35.39,PORTO CALVO
-9.15,-35.29,PORTO DE PEDRAS
-10.18,-36.84,PORTO REAL DO COLEGIO
-9.31,-36.47,QUEBRANGULO
-9.47,-35.85,RIO LARGO
-9.83,-35.97,ROTEIRO
-9.6,-35.82,SANTA LUZIA DO NORTE
-9.37,-37.24,SANTANA DO IPANEMA
-9.16,-36.22,SANTANA DO MUNDAU
-10.12,-36.9,SAO BRAS
-9.01,-36.05,SAO JOSE DA LAJE
-9.55,-37.38,SAO JOSE DA TAPERA
-9.31,-35.56,SAO LUIS DO QUITUNDE
-9.78,-36.09,SAO MIGUEL DOS CAMPOS
-9.26,-35.37,SAO MIGUEL DOS MILAGRES
-9.93,-36.55,SAO SEBASTIAO
-9.56,-35.82,SATUBA
-9.35,-37.5,SENADOR RUI PALMEIRA
-9.53,-36.43,TANQUE D'ARCA
-9.64,-36.49,TAQUARANA
-9.9,-36.35,TEOTONIO VILELA
-9.97,-37,TRAIPU
-9.16,-36.03,UNIAO DOS PALMARES
-9.37,-36.24,VICOSA
-3.22,-64.8,ALVARAES
-3.36,-68.19,AMATURA
-3.58,-61.4,ANAMA
-3.77,-61.64,ANORI
-7.19,-59.89,APUI
-4.37,-70.19,ATALAIA DO NORTE
-3.58,-59.13,AUTAZES
-0.97,-62.92,BARCELOS
-2.79,-57.07,BARREIRINHA
-4.38,-70.03,BENJAMIN CONSTANT
-3.89,-61.37,BERURI
-2.97,-57.59,BOA VISTA DO RAMOS
-8.75,-67.39,BOCA DO ACRE
-4.38,-59.59,BORBA
-3.32,-61.2,CAAPIRANGA
-6.53,-64.38,CANUTAMA
-4.88,-66.89,CARAUARI
-3.76,-60.36,CAREIRO
-3.22,-59.82,CAREIRO DA VARZEA
-4.08,-63.14,COARI
-3.83,-62.05,CODAJAS
-6.66,-69.87,EIRUNEPE
-7.43,-70.02,ENVIRA
-2.51,-66.09,FONTE BOA
-7.54,-72.58,GUAJARA
-7.5,-63.02,HUMAITA
-7.05,-71.69,IPIXUNA
-3.28,-60.18,IRANDUBA
-3.14,-58.44,ITACOATIARA
-6.42,-68.25,ITAMARATI
-2.74,-58.02,ITAPIRANGA
-1.82,-66.59,JAPURA
-3.48,-66.06,JURUA
-2.74,-66.76,JUTAI
-7.25,-64.79,LABREA
-3.3,-60.62,MANACAPURU
-3.42,-60.45,MANAQUIRI
-3.1,-60.02,MANAUS
-5.8,-61.3,MANICORE
-1.85,-65.58,MARAA
-3.38,-57.71,MAUES
-2.18,-56.71,NHAMUNDA
-3.88,-59.09,NOVA OLINDA DO NORTE
-2.62,-60.94,NOVO AIRAO
-5.12,-60.38,NOVO ARIPUANA
-2.62,-56.73,PARINTINS
-7.71,-66.97,PAUINI
-2.03,-60.02,PRESIDENTE FIGUEIREDO
-2.69,-59.7,RIO PRETO DA EVA
-0.41,-65.01,SANTA ISABEL DO RIO NEGRO
-3.1,-67.94,SANTO ANTONIO DO ICA
-0.13,-67.08,SAO GABRIEL DA CACHOEIRA
-3.37,-68.87,SAO PAULO DE OLIVENCA
-2.57,-57.87,SAO SEBASTIAO DO UATUMA
-2.83,-58.2,SILVES
-4.25,-69.93,TABATINGA
-5.62,-63.18,TAPAUA
-3.35,-64.71,TEFE
-2.87,-67.8,TONANTINS
-2.99,-65.1,UARINI
-2.53,-57.76,URUCARA
-3.13,-58.15,URUCURITUBA
2.05,-50.79,AMAPA
2.49,-50.94,CALCOENE
0.98,-50.8,CUTIAS
0.85,-51.18,FERREIRA GOMES
0.71,-50.8,ITAUBAL
-1.12,-52,LARANJAL DO JARI
0.03,-51.06,MACAPA
-0.11,-51.28,MAZAGAO
3.84,-51.83,OIAPOQUE
0.77,-51.94,PEDRA BRANCA DO AMAPARI
0.71,-51.41,PORTO GRANDE
1.74,-50.79,PRACUUBA
-0.05,-51.18,SANTANA
0.89,-52,SERRA DO NAVIO
1.5,-50.91,TARTARUGALZINHO
-0.8,-52.45,VITORIA DO JARI
-13.25,-41.66,ABAIRA
-8.72,-39.11,ABARE
-11.66,-38.01,ACAJUTIBA
-10.53,-38.1,ADUSTINA
-11.86,-38.76,AGUA FRIA
-14.12,-39.88,AIQUARA
-12.13,-38.41,ALAGOINHAS
-17.51,-39.19,ALCOBACA
-14.7,-39.63,ALMADINA
-13.03,-39.6,AMARGOSA
-12.39,-38.75,AMELIA RODRIGUES
-11.45,-41.43,AMERICA DOURADA
-14.61,-41.13,ANAGE
-12.8,-41.33,ANDARAI
-10.34,-39.83,ANDORINHA
-12,-44.69,ANGICAL
-12.15,-39.24,ANGUERA
-10.4,-38.33,ANTAS
-12.43,-39.12,ANTONIO CARDOSO
-10.57,-40.27,ANTONIO GONCALVES
-11.66,-38.08,APORA
-13.85,-39.74,APUAREMA
-12.22,-38.2,ARACAS
-14.42,-41.46,ARACATU
-11.33,-38.96,ARACI
-12.08,-38.49,ARAMARI
-15.26,-39.41,ARATACA
-13.07,-39,ARATUIPE
-14.31,-39.32,AURELINO LEAL
-12.3,-44.53,BAIANOPOLIS
-11.96,-40.16,BAIXA GRANDE
-10.57,-38.61,BANZAE
-11.08,-43.14,BARRA
-13.62,-41.32,BARRA DA ESTIVA
-14.88,-40.57,BARRA DO CHOCA
-11.81,-42.05,BARRA DO MENDES
-14.21,-39.6,BARRA DO ROCHA
-12.15,-44.99,BARREIRAS
-11.76,-41.91,BARRO ALTO
-14.81,-39.47,BARRO PRETO
-15.86,-38.88,BELMONTE
-15.03,-41.26,BELO CAMPO
-11.61,-38.8,BIRITINGA
-14.36,-40.2,BOA NOVA
-12.66,-40.6,BOA VISTA DO TUPIM
-13.25,-43.41,BOM JESUS DA LAPA
-14.37,-40.5,BOM JESUS DA SERRA
-12.7,-41.82,BONINAL
-11.96,-41.26,BONITO
-12.82,-42.73,BOQUIRA
-13.38,-42.52,BOTUPORA
-13.1,-39.79,BREJOES
-12.48,-43.96,BREJOLANDIA
-11.99,-42.62,BROTAS DE MACAUBAS
-14.2,-41.66,BRUMADO
-14.95,-39.3,BUERAREMA
-10.7,-43.63,BURITIRAMA
-14.97,-40.4,CAATIBA
-12.53,-39.19,CABACEIRAS DO PARAGUACU
-12.61,-38.95,CACHOEIRA
-14.5,-42.22,CACULE
-11.09,-40.43,CAEM
-14.33,-40.91,CAETANOS
-14.06,-42.47,CAETITE
-11.69,-41.46,CAFARNAUM
-13.48,-39.04,CAIRU
-11.02,-40.3,CALDEIRAO GRANDE
-15.41,-39.49,CAMACAN
-12.69,-38.32,CAMACARI
-13.94,-39.1,CAMAMU
-9.51,-43.01,CAMPO ALEGRE DE LOURDES
-10.5,-40.32,CAMPO FORMOSO
-13.07,-44.2,CANAPOLIS
-11.68,-41.76,CANARANA
-15.67,-38.94,CANAVIEIRAS
-11.8,-39.11,CANDEAL
-12.66,-38.55,CANDEIAS
-14.41,-42.86,CANDIBA
-15.5,-41.23,CANDIDO SALES
-10.67,-39.49,CANSANCAO
-9.9,-39.13,CANUDOS
-11.66,-39.83,CAPELA DO ALTO ALEGRE
-11.38,-40.01,CAPIM GROSSO
-14.6,-41.33,CARAIBAS
-17.73,-39.26,CARAVELAS
-11.94,-37.94,CARDEAL DA SILVA
-14.3,-43.76,CARINHANHA
-9.16,-40.97,CASA NOVA
-12.76,-39.42,CASTRO ALVES
-12.31,-44.86,CATOLANDIA
-12.35,-38.37,CATU
-13.32,-42.29,CATURAMA
-11.13,-42.11,CENTRAL
-8.98,-39.09,CHORROCHO
-10.6,-38.38,CICERO DANTAS
-11.1,-38.51,CIPO
-14.64,-39.55,COARACI
-14.18,-44.53,COCOS
-12.5,-38.99,CONCEICAO DA FEIRA
-12.8,-39.16,CONCEICAO DO ALMEIDA
-11.56,-39.28,CONCEICAO DO COITE
-12.42,-38.72,CONCEICAO DO JACUIPE
-11.81,-37.61,CONDE
-14.89,-41.96,CONDEUBA
-13.76,-41.04,CONTENDAS DO SINCORA
-12.23,-38.75,CORACAO DE MARIA
-15.03,-41.93,CORDEIROS
-13.82,-44.45,CORIBE
-10.28,-37.92,CORONEL JOAO SA
-13.34,-44.63,CORRENTINA
-12.02,-44.25,COTEGIPE
-13.35,-39.81,CRAVOLANDIA
-11.51,-38.15,CRISOPOLIS
