Complaint;Overall Sappe clients*;Undergraduates**;Graduates***
;(n=2914);(n=2203);(n=711)
Difficulties in interpersonal relationships;31.40%;31.20%;32.10%
Family conflicts;23.80%;25.00%;19.80%
Worry about professional future;21.10%;21.50%;19.80%
Poor academic performance;18.90%;19.80%;16.40%
Feeling down;16.60%;16.20%;17.90%
Difficulty in making friends;14.50%;15.00%;13.00%
Lack of self-confidence;14.00%;13.60%;15.10%
Difficulties in talking about oneself;12.90%;12.90%;12.90%
Lack of motivation;12.50%;12.80%;11.60%
Doubts about course choice;11.80%;14.30%;4.10%
